7zip 26.03-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260817.0-2
accounts-qml-module 0.7-7
accountsservice 26.27.3-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
android-tools 37.0.0-5
aom 3.15.0-1
appstream 1.2.0-1
appstream-qt 1.2.0-1
aquamarine 0.15.1-1
archlinux-appstream-data 20260910-1
archlinux-keyring 20260909-1
arm-none-eabi-binutils 2.47-1
arm-none-eabi-gcc 16.2.0-1
arm-none-eabi-newlib 4.6.0.20260123-1
ashell 0.8.0-1
ashell-debug 0.8.0-1
at-spi2-core 2.60.7-1
attica 6.30.0-1
attr 2.6.0-1
audacity 1:3.7.9-1
audit 4.2.1-1
augeas 1.14.1-5
aurorae 6.7.5-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
avr-binutils 2.47-1
avr-gcc 16.1.0-1
avr-libc 2.3.2-4
avrdude 1:8.3-1
ayatana-ido 0.10.4-1
balena-etcher 2.1.6-1
baloo 6.30.0-1
baloo-widgets 26.08.1-1
base 3-3
base-devel 1-2
bash 5.3.20-1
bat 0.26.1-2
binutils 2.47-4
bison 3.8.2-8
blas 3.12.1-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.92.0-1
breeze 6.7.5-1
breeze-cursors 6.7.5-1
breeze-icons 6.30.0-1
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
brltty 6.9.1-3
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
capstone 5.0.9-1
cblas 3.12.1-2
cdparanoia 10.2-10
cfitsio 1:4.7.0-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
cifs-utils 7.5-1
clinfo 3.0.25.02.14-1
cliphist 1:0.7.0-2
cmake 4.4.3-2
comgr 2:7.2.4-2
composefs 1.0.8-1
confuse 3.4-1
containerd 2.3.5-1
convertlit 1.8-13
coreutils 9.12-2
cpio 2.15-3
cppdap 1.58.0-3
cronie 1.7.2-2
cryptsetup 2.8.8-1
cups 2:2.4.19-1
cups-filters 2.0.1-3
cups-pk-helper 0.2.7-2
curl 8.22.0-1
